URL: http://people.eecs.berkeley.edu:80/~bartlett/courses/2009fall-cs281a/hw2.data
8.1730322e-001  4.9086409e-001  6.5142600e-001
8.6869471e-001  4.8925264e-001  3.6852205e-001
8.4435846e-002  3.3771941e-001  1.2149675e+000
3.9978265e-001  9.0005385e-001 -1.4342594e+000
2.5987040e-001  3.6924678e-001  6.7441679e-001
8.0006848e-001  1.1120276e-001  1.4655128e+000
4.3141383e-001  7.8025207e-001  1.1704267e+000
9.1064759e-001  3.8973884e-001  1.2747892e+000
1.8184703e-001  2.4169129e-001  2.0955515e-001
2.6380292e-001  4.0391215e-001  9.3238493e-001
1.4553898e-001  9.6454525e-002  6.8655328e-001
1.3606856e-001  1.3197329e-001 -1.3797830e-001
8.6929221e-001  9.4205059e-001  3.9241637e-001
5.7970459e-001  9.5613454e-001  2.7770111e-001
5.4986020e-001  5.7520860e-001 -9.9194683e-001
1.4495480e-001  5.9779543e-002 -1.2348244e-001
8.5303112e-001  2.3477991e-001  7.4737039e-001
6.2205513e-001  3.5315857e-001  8.0682976e-001
3.5095238e-001  8.2119404e-001  1.8352320e+000
5.1324954e-001  1.5403438e-002  4.3391395e-003
4.0180803e-001  4.3023802e-002  9.0708109e-001
7.5966692e-002  1.6899003e-001  8.8223223e-001
2.3991615e-001  6.4911547e-001  1.2247784e+000
1.2331893e-001  7.3172239e-001 -7.7312010e-001
1.8390779e-001  6.4774596e-001  4.5720711e-001
2.3995253e-001  4.5092371e-001  4.8542510e-001
4.1726707e-001  5.4700889e-001 -6.2081239e-001
4.9654430e-002  2.9632081e-001 -6.5356514e-001
9.0271611e-001  7.4469281e-001  1.8389176e+000
9.4478719e-001  1.8895502e-001  5.5203228e-001
