URL: http://people.eecs.berkeley.edu:80/~bartlett/courses/2009fall-cs281a/hw3-2.data
4.4930151e-002  9.0447257e-001 1
-1.5126522e-001  8.6151770e-001 1
-2.5921262e-001  1.2330896e+000 1
-7.3819551e-002  6.7104004e-001 1
3.6402862e-001  9.2462013e-001 1
4.5063126e-001  3.5010289e-001 1
-3.3340340e-001  1.1950194e+000 1
9.6814295e-002  1.1507352e+000 1
-5.7021427e-003  1.2356997e+000 1
2.7649034e-002  7.4402171e-001 1
2.0320267e-001  9.8304254e-001 1
-2.5227466e-001  1.0204401e+000 1
-2.5114300e-001  5.5824330e-001 1
7.0739548e-002  5.5468400e-001 1
7.2437566e-002  8.3491156e-001 1
-6.1824155e-002  1.3378542e+000 1
-5.4716078e-002  1.5340924e+000 1
2.2467178e-001  1.0416958e+000 1
-1.6055332e-001  5.7369314e-001 1
-4.5111204e-002  1.0691320e+000 1
1.7947823e-001  1.0986281e+000 1
7.5346548e-002  9.7536124e-001 1
3.8722375e-001  1.0441125e+000 1
-1.1060600e-002  5.4053639e-001 1
-7.4126782e-003  6.2442722e-001 1
1.2047993e+000  1.7957727e-001 2
9.4135806e-001  3.8371302e-002 2
5.9210053e-001  3.3445717e-002 2
9.2051532e-001 -2.5154847e-001 2
8.0092783e-001  3.2661736e-001 2
1.1727000e+000  2.9978427e-001 2
9.8949747e-001 -6.4433389e-001 2
1.0810103e+000 -5.2156755e-001 2
1.1266141e+000  9.6532970e-002 2
7.4285261e-001 -2.1525782e-001 2
1.0248566e+000 -3.0770191e-001 2
9.7091236e-001  6.6038859e-001 2
1.1723097e+000 -2.2610090e-001 2
1.4708227e+000 -3.0583459e-001 2
1.0813587e+000  7.5801224e-002 2
9.7619682e-001 -1.8252434e-001 2
1.0077929e+000 -2.8589257e-001 2
8.4655011e-001 -3.5329822e-001 2
5.6718538e-001 -1.4795447e-001 2
1.1196938e+000  1.2972191e-001 2
8.8804116e-001 -3.7320280e-001 2
1.0967037e+000 -2.1671044e-002 2
1.0132397e+000 -3.1550691e-003 2
8.7847871e-001 -8.6464478e-002 2
1.0611183e+000  2.4657774e-001 2
1.6081404e-001 -1.2354312e-001 3
7.2998604e-001  4.3178386e-002 3
-3.1214624e-001  8.8515340e-002 3
3.9278697e-002 -6.1564518e-002 3
1.9718336e-001 -3.6435210e-002 3
-1.4427074e-001 -2.9225195e-001 3
1.3190858e-001 -5.5027738e-003 3
4.1792352e-001  1.5456943e-001 3
2.0001987e-001  4.6646624e-001 3
2.2094674e-001  2.0468699e-002 3
-5.6046269e-002  4.0199863e-001 3
7.4247791e-002 -9.5166565e-002 3
-1.3025188e-001 -3.2489703e-001 3
-3.8839846e-002 -1.8098956e-001 3
-2.4624587e-002 -1.4124588e-001 3
2.4929257e-001  1.5541603e-001 3
1.0861743e-001 -3.3386779e-001 3
-6.4302172e-003 -3.0777011e-002 3
-9.4983530e-002 -2.7570372e-001 3
-6.0598881e-002 -6.8829399e-001 3
-2.9127854e-001  6.3004216e-002 3
1.8915126e-001 -2.1453704e-001 3
2.9104058e-001  2.8384086e-001 3
-2.5586364e-001 -7.4476909e-002 3
4.2539737e-001  2.8858268e-001 3
1.2615189e+000  8.5867273e-001 4
1.5317185e+000  1.0215437e+000 4
8.3605661e-001  1.1728753e+000 4
7.1440797e-001  1.5334377e+000 4
1.2372597e+000  9.9928402e-001 4
8.9884793e-001  9.7761922e-001 4
9.0391771e-001  9.3625453e-001 4
1.1205051e+000  7.8144697e-001 4
1.1109436e+000  1.1057320e+000 4
1.0952750e+000  9.6665018e-001 4
1.2755871e+000  1.1348946e+000 4
1.2141117e+000  1.2187927e+000 4
7.0537279e-001  6.8730608e-001 4
1.1004924e+000  1.2170776e+000 4
8.5394309e-001  7.9879846e-001 4
7.5512846e-001  8.1182669e-001 4
1.0287766e+000  8.1354691e-001 4
1.0171177e+000  9.2258657e-001 4
8.6752490e-001  6.1952723e-001 4
1.1352779e+000  1.2066328e+000 4
1.1704300e+000  8.4675318e-001 4
1.1346411e+000  1.2399321e+000 4
8.7249114e-001  1.4932469e+000 4
6.6947232e-001  1.0737395e+000 4
8.4733526e-001  9.0183714e-001 4
